id,parid,code,name,active,ordr,model_class,acl_sysobjid,acl_sysobjcode,created_at,created_by,updated_at,updated_by
831,NULL,makedocs,"Документы регистрации выполнения операций по заказам",0,9999,NULL,NULL,NULL,"2021-10-26 23:43:45",1,"2021-10-26 23:43:45",1
832,NULL,makedocitems,"Состав документов исполнения операций",0,9999,NULL,NULL,NULL,"2021-10-26 23:43:45",1,"2021-10-26 23:43:45",1
843,NULL,ri_QtyMarkups,"Цена товара в зависимости от кол-ва продажи",0,9999,NULL,NULL,NULL,"2021-10-26 23:43:45",1,"2021-10-26 23:43:45",1
851,NULL,articles,Статьи,1,9999,NULL,NULL,NULL,"2021-10-26 23:43:45",1,"2021-10-26 23:43:45",1
852,468,estdocitm_works,"Работы позиции сметы",1,9999,NULL,NULL,NULL,"2021-10-26 23:43:45",1,"2021-10-26 23:43:45",1
853,465,estdoc_sections,"Разделы состава сметы",1,999,NULL,NULL,NULL,"2021-10-26 23:43:45",1,"2021-10-26 23:43:45",1
854,466,buildobj_staffs,"Ответственные сотрудники объекта/проекта",1,999,NULL,NULL,NULL,"2021-10-26 23:43:45",1,"2021-10-26 23:43:45",1
855,NULL,reports,"Отчеты, реестры",1,999,NULL,NULL,NULL,"2021-10-26 23:43:45",1,"2021-10-26 23:43:45",1
856,NULL,meetings,Совещания,1,3,NULL,NULL,NULL,"2021-10-26 23:43:45",1,"2021-10-26 23:43:45",1
857,856,meeting_staffs,"Совещание: Участники",1,4,NULL,NULL,NULL,"2021-10-26 23:43:45",1,"2021-10-26 23:43:45",1
858,856,meeting_items,"Совещание: Повестка",1,5,NULL,NULL,NULL,"2021-10-26 23:43:45",1,"2021-10-26 23:43:45",1
859,858,meeting_executors,"Совещание: Исполнители решений",1,6,NULL,NULL,NULL,"2021-10-26 23:43:45",1,"2021-10-26 23:43:45",1
860,461,proj_categories,"Категории проектов",1,999,NULL,NULL,NULL,"2021-10-26 23:43:45",1,"2021-10-26 23:43:45",1
861,461,proj_statuses,"Статусы проектов",1,998,NULL,NULL,NULL,"2021-10-26 23:43:45",1,"2021-10-26 23:43:45",1
862,NULL,qchecks,"Проверки стройконтроля - документ",1,990,NULL,NULL,NULL,"2021-10-26 23:43:45",1,"2021-10-26 23:43:45",1
863,862,qcheck_items,"Проверки стройконтроля - состав",1,991,qcheck_item,NULL,NULL,"2021-10-26 23:43:45",1,"2021-10-26 23:43:45",1
866,NULL,milestone_statuses,"Статусы вех",1,999999,NULL,NULL,NULL,"2021-10-26 23:43:45",1,"2021-10-26 23:43:45",1
867,NULL,wrkplans,"Планы работ",1,1,NULL,NULL,NULL,"2021-10-26 23:43:45",1,"2021-10-26 23:43:45",1
868,867,wrkplan_msgs,"Сообщения к плану работ",1,2,NULL,NULL,NULL,"2021-10-26 23:43:45",1,"2021-10-26 23:43:45",1
869,868,wrkplanmsg_staffs,"Получатели сообщения плана работ",1,3,NULL,NULL,NULL,"2021-10-26 23:43:45",1,"2021-10-26 23:43:45",1
870,NULL,equiprqsts,"Заявки на материалы и оборудование",1,2,equiprqst,NULL,NULL,"2021-10-26 23:43:45",1,"2021-10-26 23:43:45",1
871,870,equiprqst_staffs,"Участники обработки заявки",1,3,NULL,NULL,NULL,"2021-10-26 23:43:45",1,"2021-10-26 23:43:45",1
872,870,equiprqst_items,"Состав заявки на материалы и оборудование",1,4,NULL,NULL,equiprqsts,"2021-10-26 23:43:45",1,"2021-10-26 23:43:45",1
873,870,equiprqst_expenses,"Доп. затраты по заявке на материалы",1,873,NULL,NULL,NULL,"2021-10-26 23:43:45",1,"2021-10-26 23:43:45",1
874,870,eritm_offers,"Предложения по позиции заявки на материалы",1,874,NULL,NULL,NULL,"2021-10-26 23:43:45",1,"2021-10-26 23:43:45",1
875,NULL,bdgtacnttypes,"Типы статей прихода/расхода бюджета",1,875,NULL,NULL,NULL,"2021-10-26 23:43:45",1,"2021-10-26 23:43:45",1
876,NULL,budgets,Бюджеты,1,876,NULL,NULL,NULL,"2021-10-26 23:43:45",1,"2021-10-26 23:43:45",1
877,876,budget_items,"Состав бюджета",1,878,NULL,NULL,NULL,"2021-10-26 23:43:45",1,"2021-10-26 23:43:45",1
878,876,budget_opers,"Операции с бюджетом (приход/расход)",1,879,NULL,NULL,NULL,"2021-10-26 23:43:45",1,"2021-10-26 23:43:45",1
879,876,budget_itmsums,"Плановые и фактические суммы бюджета",1,877,NULL,NULL,NULL,"2021-10-26 23:43:45",1,"2021-10-26 23:43:45",1
880,NULL,user_notices,"Уведомления для пользователей",1,1,NULL,NULL,NULL,"2021-10-26 23:43:45",1,"2021-10-26 23:43:45",1
881,NULL,budget_facts,"Фактические суммы бюджета",1,878,NULL,NULL,NULL,"2021-10-26 23:43:45",1,"2021-10-26 23:43:45",1
882,870,eritm_supplies,"Поставки материалов по заказам",1,874,NULL,NULL,NULL,"2021-10-26 23:43:45",1,"2021-10-26 23:43:45",1
883,882,ersup_m15s,"Передача позиции заявки по формам М15",1,883,NULL,NULL,NULL,"2021-10-26 23:43:45",1,"2021-10-26 23:43:45",1
884,NULL,ersup_deliveries,"Получение на стр. объекте",1,882,ersup_delivery,NULL,NULL,"2021-10-26 23:43:45",1,"2021-10-26 23:43:45",1
